server_id,cpu_usage,memory_usage,disk_io,temperature,network_errors,uptime_hours,error_log_count,process_count,swap_usage,response_time_ms,failure
1,65.55,74.79,58.56,84.3,15,2747.53,19,234,49.46,776.06,0
2,92.61,98.68,76.47,94.52,37,5757.98,53,458,94.51,1590.06,1
3,61.69,87.71,54.06,62.54,13,2283.88,26,270,73.73,1093.08,0
4,17.18,59.23,49.45,57.96,10,1975.69,18,178,1.53,106.02,0
5,89.61,89.65,88.11,94.67,22,6135.15,70,424,81.54,1651.95,1
6,96.83,95.62,96.78,90.54,37,7189.37,77,464,83.99,1707.91,1
7,63.31,69.35,73.59,69.6,14,3938.85,22,283,54.05,528.82,0
8,66.56,55.73,39.5,56.41,3,706.94,7,105,46.78,321.61,0
9,68.18,62.63,61.07,68.63,8,3687.58,3,108,2.71,299.54,0
10,74.99,62.53,40.48,66.03,21,5007.69,53,312,44.61,1102.76,0
11,95.13,98.3,90.77,90.31,39,5673.12,62,474,88.37,1879.23,1
12,40.84,63.1,25.78,59.91,12,3798.13,5,327,29.53,239.84,0
13,90.27,91.34,71.0,88.17,39,8497.18,93,471,95.56,1799.33,1
14,56.63,50.71,27.57,69.0,1,1971.01,0,190,3.38,115.75,0
15,65.76,59.25,64.6,79.37,15,3651.51,16,422,73.55,822.1,0
16,96.56,97.85,70.54,99.37,41,5798.24,90,413,97.33,1468.44,1
17,38.53,48.17,0.98,40.99,25,8094.55,8,213,18.27,858.42,0
18,87.97,91.22,75.53,98.2,39,5147.96,69,453,80.75,1929.57,1
19,59.07,26.61,35.39,40.18,4,1466.48,13,258,23.31,409.34,0
20,61.01,65.61,50.52,69.0,6,5684.79,37,270,56.67,991.92,0
21,51.64,49.85,16.37,51.06,2,3633.89,20,170,27.72,853.08,0
22,53.41,47.27,5.27,47.05,9,305.45,29,198,28.84,537.24,0
23,90.0,91.24,92.85,89.57,34,6597.31,77,483,99.6,1645.14,1
24,97.59,97.41,87.21,99.25,25,4965.47,92,432,96.79,1935.96,1
25,42.37,63.49,20.72,60.03,12,2463.84,8,57,52.21,28.93,0
26,57.49,63.43,5.93,55.82,0,2198.57,15,316,21.05,114.19,0
27,11.76,70.34,59.91,40.4,10,4787.18,38,376,28.45,289.62,0
28,92.0,79.83,5.84,59.57,4,4067.27,8,197,22.78,453.31,0
29,76.43,60.88,69.47,81.57,8,1478.57,15,347,65.5,1101.37,0
30,97.51,98.43,97.5,90.33,28,6980.17,66,452,93.82,1813.35,1
31,50.65,20.91,33.29,47.25,9,698.29,24,166,56.2,132.39,0
32,75.12,84.47,60.84,75.59,6,4776.35,20,389,72.85,1279.62,0
33,31.36,61.68,0.94,43.71,0,163.87,29,261,28.45,97.07,0
34,66.43,72.47,59.47,51.85,0,3713.35,14,339,57.82,769.18,0
35,90.69,90.91,91.36,97.04,22,5521.86,53,421,88.46,1849.55,1
36,14.04,52.02,22.48,59.87,0,3486.28,34,340,44.98,125.78,0
37,56.33,30.93,0.36,66.09,9,2916.3,26,72,21.51,113.12,0
38,22.47,21.46,11.79,58.66,5,3570.79,28,152,15.57,347.93,0
39,17.05,55.71,48.49,58.67,13,1500.11,9,310,13.42,867.27,0
40,19.86,64.8,43.24,56.74,5,3508.92,13,294,26.35,345.48,0
41,18.36,65.92,63.99,56.82,2,1089.96,0,324,7.07,523.1,0
42,19.1,37.14,16.15,63.81,0,2279.99,26,313,20.52,740.92,0
43,25.43,63.54,63.14,61.6,11,7797.01,8,180,43.22,602.67,0
44,20.14,35.32,11.51,42.84,1,1843.65,7,159,30.21,624.45,0
45,16.64,66.55,8.29,52.71,11,600.52,8,266,43.2,580.62,0
46,52.8,69.24,33.26,57.03,1,1790.2,18,122,16.15,345.78,0
47,96.52,89.78,72.41,89.03,48,7348.12,82,423,91.47,1407.07,1
48,94.55,92.09,76.21,91.78,19,4532.65,57,384,81.27,1603.98,1
49,58.95,32.34,14.55,57.18,8,2320.76,3,313,15.94,125.27,0
50,93.1,98.62,84.81,94.94,49,5060.14,60,427,87.86,1647.2,1
51,86.78,80.81,54.13,67.41,10,4873.27,41,242,47.31,608.24,0
52,68.19,25.16,43.72,54.2,12,709.42,24,301,56.68,618.09,0
53,91.24,90.84,82.92,85.42,46,5973.44,54,383,92.56,1782.5,1
54,17.01,71.69,40.8,50.72,1,3176.31,21,210,53.63,711.85,0
55,28.97,32.14,77.17,50.98,3,1646.99,60,252,13.97,515.57,0
56,63.59,20.0,25.86,54.58,7,2019.22,2,171,63.25,279.09,0
57,49.82,71.53,47.62,46.88,0,1049.79,20,65,29.78,541.19,0
58,62.11,46.81,58.15,65.6,5,90.85,9,212,38.01,239.52,0
59,79.48,55.11,64.78,68.89,18,1464.95,38,310,66.98,571.34,0
60,27.67,41.18,55.32,50.14,2,2227.65,32,258,34.2,96.49,0
61,98.71,96.85,88.24,88.26,44,8568.56,90,380,92.36,1431.63,1
62,18.33,55.25,11.82,51.06,12,1896.37,23,101,11.54,46.37,0
63,33.32,34.92,53.87,51.42,3,2171.24,4,290,4.47,888.33,0
